E,p,val,val_shared
0.2777777777777778,0.7777777777777777,1.7063344115058772,1.7063344115058772
0.2777777777777778,0.8888888888888888,1.7095565943295854,1.7092111299671475
0.2777777777777778,1.0,1.7148905447323393,1.7148905447323393
0.3333333333333333,0.0,1.7018286930860436,1.7018286930860436
0.3333333333333333,0.1111111111111111,1.7015999678350127,1.6981005715085766
0.3333333333333333,0.2222222222222222,1.6992411136002556,1.6960614011548083
0.3333333333333333,0.3333333333333333,1.69797093088203,1.695414548426828
0.3333333333333333,0.4444444444444444,1.6974874258091521,1.6951782134393991
0.3333333333333333,0.5,1.692422738470395,1.692422738470395
0.3333333333333333,0.5555555555555556,1.6974874258127566,1.6951782134427784
0.3333333333333333,0.6666666666666666,1.697970930873327,1.6954145484470167
0.3333333333333333,0.7777777777777777,1.6992411135987706,1.6960614011539508
